Κατάλογος Εξαιρέσεων από Άδεια,,,,,,,,,,,,,
Όνομα Αδειούχου,Αριθμός Άδειας,Ημερομηνία Έναρξης,Ημερομηνία Λήξης,Ισχύς (KW),Αποθήκευση ενέργειας – Ισχύς εξόδου (kW),Αποθήκευση ενέργειας – Αποθηκευτική ισχύς (kWh),Τεχνολογία,Τύπος Τεχνολογίας,Καύσιμο,Τύπος Άδειας,Καθεστώς Λειτουργίας,Επαρχία,Δήμος/Κοινότητα
SPANERCOM LTD,Ε005099/2025,12/11/2025,11/11/2030,0,5000,20000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Αναρίτα
BP-S 105 LTD,Ε005098/2025,12/11/2025,11/11/2030,1000,1000,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγία Βαρβάρα
SOLARWISE SOLUTIONS LTD,Ε005097/2025,12/11/2025,11/11/2030,2576,1600,3200,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Στενή
BP-S 160 LTD,Ε005096/2025,12/11/2025,11/11/2030,400,400,1200,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αθηένου
BP-S 158 LTD,Ε005095/2025,12/11/2025,11/11/2030,700,700,2100,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Πισσούρι
FAST 41 ENERGY LTD,Ε005094/2025,12/11/2025,11/11/2030,744,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Περιστερώνα
ESPERIA ENERGY (AGLANTZIA 1) LTD,Ε005093/2025,12/11/2025,11/11/2030,7360,7360,25760,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγλαντζιά
ESPERIA ENERGY (XYLOTYMBOU 1) LTD,Ε005092/2025,12/11/2025,11/11/2030,7996,7996,24000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
ESPERIA ENERGY (TSERI 2) LTD,Ε005091/2025,12/11/2025,11/11/2030,4080,4080,14280,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αλάμπρα
ESPERIA ENERGY (XYLOTYMBOU 1) LTD,Ε005090/2025,12/11/2025,11/11/2030,5746,5746,17240,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
