Κατάλογος Εξαιρέσεων από Άδεια,,,,,,,,,,,,,
Όνομα Αδειούχου,Αριθμός Άδειας,Ημερομηνία Έναρξης,Ημερομηνία Λήξης,Ισχύς (KW),Αποθήκευση ενέργειας – Ισχύς εξόδου (kW),Αποθήκευση ενέργειας – Αποθηκευτική ισχύς (kWh),Τεχνολογία,Τύπος Τεχνολογίας,Καύσιμο,Τύπος Άδειας,Καθεστώς Λειτουργίας,Επαρχία,Δήμος/Κοινότητα
AGM LIGHTPOWER LTD,Ε003154/2021,03/08/2021,02/08/2026,5000,3000,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Κοκκινοτριμιθιά
ZEMCO CONSTRUCTION LTD,Ε003152/2021,03/08/2021,02/08/2033,24,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,-
ZEMCO CONSTRUCTION LTD,Ε003151/2021,03/08/2021,02/08/2033,26,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,-
ΛΟΙΖΟΣ ΤΟΦΑΡΗ ΛΤΔ,Ε003150/2021,03/08/2021,02/08/2033,16,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,-
BIOLAND PROJECT 98 LTD,Ε003148/2021,28/07/2021,27/07/2026,1500,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Κιβισίλι
BIOLAND PROJECT 34 LTD,Ε003147/2021,28/07/2021,27/07/2026,1500,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγία Βαρβάρα
SOLEK LARNAKA I LTD,Ε003146/2021,28/07/2021,27/07/2026,4170,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιος Θεόδωρος
BIOLAND PROJECT 84 LTD,Ε003144/2021,28/07/2021,27/07/2026,350,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Άχνα
ICON TOWER LTD,Ε003143/2021,28/07/2021,27/07/2033,459,-,-,Συμβατικά Καύσιμα,ΜΕΚ,,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,-
VOICI LA MODE LTD,Ε003142/2021,28/07/2021,27/07/2033,35,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Λακατάμεια
"IBM ITALIA S.P.A., CYPRUS BRANCH",Ε003141/2021,28/07/2021,27/07/2033,30,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Λεμεσός
ΛΟΙΖΟΣ ΤΟΦΑΡΗ ΛΤΔ,Ε003140/2021,28/07/2021,27/07/2033,32,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,-
TZIOVANIS CONSTANTINOY HYGIENE SERVICES LTD,Ε003139/2021,28/07/2021,27/07/2033,24,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Αμμόχωστος,Σωτήρα
BIOLAND PROJECT 22 LTD,Ε003129/2021,28/07/2021,27/07/2051,800,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αραδίππου
CKG SUN ENERGY LTD,Ε003128/2021,28/07/2021,27/07/2051,1000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Σκαρίνου
ΙΕΡΑ ΜΟΝΗ ΣΥΜΒΟΥΛΟΥ ΧΡΙΣΤΟΥ,Ε003127/2021,20/07/2021,19/07/2051,35.52,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Σωτήρα
ΧΡΥΣΟΔΑΛΙΑ ΒΙΟΜΗΧΑΝΙΑ ΤΡΟΦΙΜΩΝ ΛΤΔ,Ε003126/2021,20/07/2021,19/07/2051,400,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λευκωσία,Αστρομερίτης
BIOLAND PROJECT 21 LTD,Ε003124/2021,13/07/2021,12/07/2051,700,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Κοφίνου
DHL (CYPRUS)  LTD,Ε003123/2021,09/07/2021,08/07/2033,88,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολος
DHL (CYPRUS) LTD,Ε003122/2021,09/07/2021,08/07/2033,35.2,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Παλιό αεροδρόμειο
DHL (CYPRUS)  LTD,Ε003121/2021,09/07/2021,08/07/2033,160,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Ύψωνας
ΑΡΧΗ ΨΗΦΙΑΚΗΣ ΑΣΦΑΛΕΙΑΣ,Ε003120/2021,09/07/2021,08/07/2033,36,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Άγιος Ανδρέας
ROYAL ARTEMIS CLINIC PUBLIC COMPANY LTD,Ε003119/2021,09/07/2021,08/07/2033,300,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εφεδρεία,Πάφος,-
REISSWOLF CYPRUS LTD,Ε003118/2021,09/07/2021,08/07/2033,35.2,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αραδίππου
ALOSTON TRADING LTD,Ε003117/2021,09/07/2021,08/07/2033,16,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Μαθηκολώνη
H.M. HOUSEMARKET (CYPRUS) LTD,Ε003116/2021,09/07/2021,08/07/2051,640,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λευκωσία,Στρόβολος
LIDL CYPRUS,Ε003115/2021,09/07/2021,08/07/2051,140.08,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Πάφος,-
NICOLAIDES &AMP; KOUNTOURIS METAL COMPANY LTD,Ε003114/2021,09/07/2021,08/07/2051,100.74,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λευκωσία,Γέρι
CYPV SUNRISING ENERGY LTD,Ε003113/2021,09/07/2021,08/07/2051,3000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Ιωάννης
E.P. INVESTMENTS LTD,Ε003112/2021,05/07/2021,04/07/2051,80.76,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Αμμόχωστος,Παραλίμνι
GIGAWATT GLOBAL (CYPRUS) LTD,Ε003111/2021,30/06/2021,29/06/2051,5000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Ιωάννης
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε003110/2021,29/06/2021,28/06/2051,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Μέσα Χωριό
CYPV SUN POWER LTD,Ε003103/2021,23/06/2021,22/06/2051,820,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Φρέναρος
BIOLAND PROJECT 82 LTD,Ε003100/2021,18/06/2021,17/06/2026,1000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Άχνα
BIOLAND PROJECT 82 LTD,Ε003099/2021,18/06/2021,17/06/2026,1000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Άχνα
TH. SOULIS ENERGY LTD,Ε003098/2021,15/06/2021,14/06/2051,752.4,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Καλό Χωριό
ΣΥΜΒΟΥΛΙΟ ΑΠΟΧΕΤΕΥΣΕΩΝ ΛΑΡΝΑΚΑΣ,Ε003097/2021,11/06/2021,10/06/2033,664.75,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Λάρνακα
ΙΕΡΑ ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΥΠΡΟΥ ,Ε003096/2021,11/06/2021,10/06/2033,440,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Ενορία Αγίου Ιωάννη
Π.Σ. ΚΤΗΜΑ ΕΡΩΤΟΚΡΙΤΟΣ ΛΤΔ,Ε003095/2021,11/06/2021,10/06/2033,120,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Χοιροκιτία
ΚΛΕΑΝΘΕΙΟΣ ΚΟΙΝΟΤΙΚΗΣ ΣΤΕΓΗΣ ΗΛΙΚΙΩΜΕΝΩΝ ΑΘΗΕΝΟΥ,Ε003094/2021,11/06/2021,10/06/2033,132,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αθηένου
GRAND BHTA STORES LTD,Ε003093/2021,11/06/2021,10/06/2033,53,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Κολόσσι
ΔΗΜΟΣ ΠΑΦΟΥ,Ε003092/2021,11/06/2021,10/06/2033,150,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Πάφος,Ενορία Άγιος Παύλος
ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΚΩΝ,Ε003091/2021,11/06/2021,10/06/2051,53.46,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Πάφος,-
ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΚΩΝ,Ε003090/2021,11/06/2021,10/06/2051,53.46,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Πάφος,Πάφος
 ΓΙΑΝΝΑΚΗΣ ΟΛΥΜΠΙΟΣ ΚΑΙ ΥΙΟΙ ΛΤΔ,Ε003089/2021,11/06/2021,10/06/2051,19.75,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λευκωσία,Λύμπια
ATLASPANTOU CO LTD,Ε003088/2021,04/06/2021,03/06/2051,50,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Πολεμίδια
DHL (CYPRUS) LTD,Ε003086/2021,04/06/2021,03/06/2051,90.97,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Ύψωνας
S.S.H. SOLAR ENERGY LTD,Ε003085/2021,04/06/2021,03/06/2051,393,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγλαντζιά
D.I. BAKEART LTD,Ε003084/2021,28/05/2021,27/05/2051,149.6,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Αμμόχωστος,Φρέναρος
HAFFNEVE HOLDING LTD,Ε003083/2021,26/05/2021,25/05/2051,3000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Μαργί
Y.K. MEGA PLAST LTD,Ε003082/2021,21/05/2021,20/05/2051,120,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Αμμόχωστος,Φρέναρος
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε003074/2021,18/05/2021,17/05/2051,19.53,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Ασγάτα
BIOLAND PROJECT 75 LTD,Ε003073/2021,14/05/2021,13/05/2026,3500,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Πύλα
AGM LIGHTPOWER LTD,Ε003072/2021,14/05/2021,13/05/2026,5000,3000,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Παραλίμνι
A &AMP; I ANDRONICOU INV. &AMP; DEV.LTD ,Ε003068/2021,07/05/2021,06/05/2033,35,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Μέσα Γειτονιά
MOONLAND PROPERTIES LTD,Ε003067/2021,07/05/2021,06/05/2033,65,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Έγκωμη
R.A HALLS SOCIETY LTD ,Ε003066/2021,07/05/2021,06/05/2033,12,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολος
ROTOS BUILDING SOCIETY LTD,Ε003065/2021,07/05/2021,06/05/2033,12,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Έγκωμη
THE HERITAGE (PRIVATE SCHOOL) LTD,Ε003064/2021,07/05/2021,06/05/2033,320,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Παλώδεια
ΥΠΕΡΑΓΟΡΑ ΧΑΤΖΗΧΡΙΣΤΟΦΗΣ (ΑΘΗΑΙΝΙΤΗΣ) ΛΤΔ,Ε003063/2021,07/05/2021,06/05/2033,368,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Λακατάμεια
EUROFREIGHT LOGISTICS LTD,Ε003062/2021,07/05/2021,06/05/2033,144,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αραδίππου
EUROFREIGHT LOGISTICS LTD,Ε003061/2021,07/05/2021,06/05/2033,100,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αραδίππου
ΑΝΩΤΑΤΟ ΔΙΚΑΣΤΗΡΙΟ ΚΥΠΡΟΥ,Ε003060/2021,07/05/2021,06/05/2033,100,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,-
ZUDOLEX CYPRUS LTD,Ε003059/2021,07/05/2021,06/05/2033,160,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Λάρνακα
ZUDOLEX CYPRUS LTD,Ε003058/2021,07/05/2021,06/05/2033,425,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Λάρνακα
STELSOLMAR LTD,Ε003057/2021,27/04/2021,26/04/2051,150,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Ανώγυρα
ΙΕΡΑ ΜΟΝΗ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ ΑΛΑΜΑΝΟΥ,Ε003055/2021,27/04/2021,26/04/2051,40,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Μοναγρούλι
ΜΕΦΑΛ ΔΗΜΟΣΙΑ ΛΤΔ,Ε003054/2021,27/04/2021,26/04/2051,100,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,Καλό χωριό
BIOLAND PROJECT 79 LTD,Ε003051/2021,16/04/2021,15/04/2026,650,650,2600,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Ψημολόφου
BIOLAND PROJECT 73 LTD,Ε003050/2021,16/04/2021,15/04/2026,2000,2000,8000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Ορούντα
Μ.Π. ΘΕΟΔΩΡΟΥ (ΒΙΟΜΗΧΑΝΙΑ ΑΛΑΤΟΣ) &AMP; ΣΙΑ ΛΤΔ,Ε003049/2021,13/04/2021,12/04/2051,99.4,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,Αραδίππου
PETROU BROS DAIRY PRODUCTS LTD,Ε003048/2021,13/04/2021,12/04/2051,401.15,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,Αραδίππου
AGM LIGHTPOWER LTD,Ε003047/2021,09/04/2021,08/04/2026,5000,3000,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Κοκκινοτριμιθιά
BIOLAND PROJECT 75 LTD,Ε003045/2021,09/04/2021,08/04/2026,900,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλεθρικό
BIOLAND PROJECT 80 LTD,Ε003044/2021,09/04/2021,08/04/2026,2000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Τρούλλοι
BIOLAND PROJECT 33 LTD,Ε003043/2021,09/04/2021,08/04/2026,900,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Τερσεφάνου
AGE CARE (CYPRUS) LTD,Ε003042/2021,06/04/2021,05/04/2033,132,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Λατσιά
C&AMP;S AMERICAN HEART INSTITUTE LIMITED,Ε003041/2021,06/04/2021,05/04/2033,36,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Λεμεσός
SOYAMILLS CYPRUS LTD,Ε003040/2021,06/04/2021,05/04/2033,80,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αραδίππου
 PRICEWATERHOUSECOOPERS LTD,Ε003039/2021,06/04/2021,05/04/2033,200,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Ενορία Αγίας Τριάδας
CRUSADER HOTEL RESORT LTD,Ε003038/2021,06/04/2021,05/04/2051,19.95,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Γερμασόγεια
ΣΤΑΝΗ ΙΑΚΩΒΟΥ ΚΑΙ ΥΙΟΙ ΛΤΔ,Ε003032/2021,02/04/2021,01/04/2051,34.17,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,Κιβισίλι
ΠΑΡΑΔΟΣΙΑΚΑ ΠΡΟΙΟΝΤΑ ΑΦΧ (ΚΑΤΣΟΥΡΑΣ) ΛΤΔ,Ε003031/2021,02/04/2021,01/04/2051,31.95,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Πάφος,Γαλαταριά
NICOSIA MALL PROPERTY (NMP) LTD,Ε003024/2021,30/03/2021,29/03/2033,817.6,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Λακατάμεια
ΚΥΠΡΙΑΚΗ ΔΗΜΟΚΡΑΤΙΑ (ΠΥΡΟΣΒΕΣΤΙΚΟΣ ΣΤΑΘΜΟΣ ΜΑΡΙ),Ε003023/2021,30/03/2021,29/03/2033,160,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Μαρί
ALION VEGETABLE AND FRUIT CO LTD,Ε003022/2021,30/03/2021,29/03/2033,256,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Πέρα Χωριό
ΛΟΙΖΟΣ ΤΟΦΑΡΗ ΛΤΔ,Ε003021/2021,30/03/2021,29/03/2033,17.6,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,-
ΛΟΙΖΟΣ ΤΟΦΑΡΗ ΛΤΔ,Ε003020/2021,30/03/2021,29/03/2033,17.6,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Αυτοπαραγωγή,Κινητή Μονάδα,-
PIPIS HOTELS LTD (ALASIA HOTEL),Ε003018/2021,30/03/2021,29/03/2033,120,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εφεδρεία,Λεμεσός,Ενορία Καθολικής
UNIVERSAL LIFE INSURANCE PUBLIC COMPANY LTD,Ε003016/2021,30/03/2021,29/03/2033,132,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Ενορία Αγίου Αντωνίου
PARKLANE HOTELS LTD,Ε003015/2021,30/03/2021,29/03/2033,160,-,-,Συμβατικά Καύσιμα,ΜΕΚ,,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Πύργος
ΠΥΡΟΣΒΕΣΤΙΚΗ ΥΠΗΡΕΣΙΑ ΚΥΠΡΟΥ,Ε003014/2021,30/03/2021,29/03/2033,120,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Ενορία Αγίου Ιωάννη
KOSTAS PARPAS &AMP; SONS LTD,Ε003013/2021,30/03/2021,29/03/2033,48,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αθηένου
CYPV SUN POWER LTD,Ε003012/2021,26/03/2021,25/03/2051,3000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Τσέρι
BIOLAND PROJECT 81 LTD,Ε003011/2021,23/03/2021,22/03/2026,2000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Τρούλλοι
