Developer group,Brand,SPVs,Licences,PV MWp,BESS MW,Max score,Primary target,Districts,Directors,Developer domain,Best contact,Best email,Best phone,Confidence,Companies
p-elsim,P ELSIM,1,5,30.50,0.00,50,PV EPC,Larnaca; Famagusta,ΜΕΜΝΩΝ ΠΑΠΑΓΕΩΡΓΙΟΥ; ΦΛΩΡΕΝΤΙΑ ΠΑΠΑΓΕΩΡΓΙΟΥ,,,,,,D.P. ELSIM LTD
solek-larnaka,SOLEK LARNAKA,1,5,26.93,0.00,50,PV EPC,Larnaca,,,,,,,SOLEK LARNAKA I LTD
revesius,REVESIUS,1,4,26.50,6.00,50,PV EPC,Limassol; Larnaca,ΜΑΡΙΑ ΗΡΩΑ ΠΑΤΣΑΛΗ,,,,,,REVESIUS LTD
easy,EASY,1,5,18.23,10.28,50,PV EPC,Nicosia,,,,,,,EASY POWER (CYPRUS) LTD
--4,ΤΣΙΜΕΝΤΟΠΟΙΙΑ ΒΑΣΙΛΙΚΟΥ,1,2,16.00,0.00,50,PV EPC,Larnaca,ΑΝΑΣΤΑΣΙΑ ΠΑΠΑΔΟΠΟΥΛΟΥ; ΓΙΑΝΝΑΚΗΣ ΣΑΒΒΙΔΗΣ,,,,,,ΤΣΙΜΕΝΤΟΠΟΙΙΑ ΒΑΣΙΛΙΚΟΥ ΔΗΜΟΣΙΑ ΕΤΑΙΡΕΙΑ ΛΤΔ
--5,ΦΑΝΟΣ Ν,1,2,14.90,0.00,50,PV EPC,Larnaca,ΜΑΡΙΟΣ ΔΗΜΗΤΡΙΑΔΗΣ; ΑΛΕΞΑΝΔΡΑ ΕΠΙΦΑΝΙΟΥ,,,,,,ΦΑΝΟΣ Ν. ΕΠΙΦΑΝΙΟΥ Δ.Ε. ΛΤΔ
vathia-gonia,VATHIA GONIA,1,2,14.00,0.00,50,PV EPC,Nicosia,ΑΧΙΛΛΕΑΣ ΓΙΑΛΛΟΥΡΟΣ,,,,,,VATHIA GONIA SOLAR ENERGY LTD
polystep,POLYSTEP,1,1,8.00,0.00,50,PV EPC,Larnaca,,,,,,,POLYSTEP (ENERGY) LTD
gianko1,GIANKO1,1,1,7.95,0.00,50,PV EPC,Limassol,ΠΑΝΑΓΙΩΤΗΣ ΑΝΑΣΤΑΣΙΟΥ,,,,,,GIANKO1 SOLAR LTD
daisyrise,DAISYRISE,1,2,11.50,7.00,48,Hybrid EPC (PV + BESS),Limassol,IDO COHEN; RONEN HAREL,,,,,,DAISYRISE VENTURES LTD
future-sun,FUTURE SUN,1,2,10.68,4.50,48,Hybrid EPC (PV + BESS),Nicosia; Larnaca,,,,,,,FUTURE SUN POWER LTD
solek-lemesos,SOLEK LEMESOS,1,1,7.43,0.00,48,PV EPC,Limassol,ΓΡΗΓΟΡΙΟΣ ΜΑΡΙΝΑΚΗΣ,,,,,,SOLEK LEMESOS I LTD
ym-energian,YM ENERGIAN,1,2,11.97,10.00,47,Hybrid EPC (PV + BESS),Larnaca,,,,,,,YM ENERGIAN (CYPRUS) LTD
--6,ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΥΠΡΟΥ,1,2,10.39,0.00,46,PV O&M,Nicosia,,,,,,,ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΥΠΡΟΥ
flow,FLOW,1,1,6.50,4.50,46,Hybrid EPC (PV + BESS),Limassol,ΑΝΔΡΕΑΣ ΧΑΡΑΛΑΜΠΟΥΣ,,,,,,SOLAR FLOW ENERGY LTD
g-f,G F,1,3,16.12,8.00,44,Hybrid EPC (PV + BESS),Famagusta,ΓΙΩΡΓΟΣ ΦΡΑΓΚΕΣΚΟΥ,,,,,,G.F. CYSOLAR PVP1 LTD
gigawatt-global,GIGAWATT GLOBAL,1,4,10.00,10.00,44,PV O&M,Nicosia,,,,,,,GIGAWATT GLOBAL (CYPRUS) LTD
galbenita,GALBENITA,1,1,6.05,6.00,44,Hybrid EPC (PV + BESS),Larnaca,ΕΒΓΕΝΙ ΚΙΡΕΕΒ,,,,,,GALBENITA LTD
