LIGHTHIEF EPC — CONFIRMED COST BREAKDOWN v4.0 (ALL PARKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 16, 2026 — v4.0: Full client group names. CIF from Linyang quotations (Jan+Feb 2026). 6 Client Groups, 51 Parks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Park Name,Client Group,Sub-Code,Time Period,District,MW,MWh,BESS,MV,CNT,CIF,CIF /kWh,Import Duty (2.66%),Port/Landing (ECTL),Customs (Interfreight),Crane+Transport (Soulis),LV MV DC AC Cables (joha),MV Terms / LV Terminations,Protect Eng,Remote Trip,UPS/Aux,LPS (DEHN),SPD (DEHN),Earthing,Install Labor,Platforms (Concrete and Steel),Civil Works (trench work only) Levelling is charged separate,Insurance (0.75%),Docs/Compl,PCC Bay,Adders & Tax Total,EMS Hardware,SCADA Local,SCADA Global,Total EMS/SCADA,Contingency,Installed Cost,Client Revenue,Price/MWh,Margin EUR,Margin %,Pricing Type
8,ELESTORE 1,ABIO Power,ELE,TBC,Nicosia,12,40,8,2,10,"3,781,992",94.5498,"100,601","6,450",85,"23,600","16,800","4,400","6,000","3,000","2,000","4,670","4,274","7,936","1,600","80,000",,"28,365","7,000",0,"303,781","75,792","30,000","2,400","108,192",,"4,193,965","4,599,600","114,990","405,635",8.8%,ESTIMATED
9,ELESTORE 2,ABIO Power,ELE,TBC,Nicosia,12,40,8,2,10,"3,781,992",94.5498,"100,601","6,450",85,"23,600","16,800","4,400","6,000","3,000","2,000","4,670","4,274","7,936","1,600","80,000",,"28,365","7,000",0,"303,781","75,792","30,000","2,400","108,192",,"4,193,965","4,599,600","114,990","405,635",8.8%,ESTIMATED
10,ELESTORE 3,ABIO Power,ELE,TBC,Nicosia,12,40,8,2,10,"3,781,992",94.5498,"100,601","6,450",85,"23,600","16,800","4,400","6,000","3,000","2,000","4,670","4,274","7,936","1,600","80,000",,"28,365","7,000",0,"303,781","75,792","30,000","2,400","108,192",,"4,193,965","4,599,600","114,990","405,635",8.8%,ESTIMATED
11,ELESTORE 4,ABIO Power,ELE,TBC,Nicosia,12,40,8,2,10,"3,781,992",94.5498,"100,601","6,450",85,"23,600","16,800","4,400","6,000","3,000","2,000","4,670","4,274","7,936","1,600","80,000",,"28,365","7,000",0,"303,781","75,792","30,000","2,400","108,192",,"4,193,965","4,599,600","114,990","405,635",8.8%,ESTIMATED
12,ELESTORE 5,ABIO Power,ELE,TBC,Nicosia,12,40,8,2,10,"3,781,992",94.5498,"100,601","6,450",85,"23,600","16,800","4,400","6,000","3,000","2,000","4,670","4,274","7,936","1,600","80,000",,"28,365","7,000",0,"303,781","75,792","30,000","2,400","108,192",,"4,193,965","4,599,600","114,990","405,635",8.8%,ESTIMATED
13,Easy Power 1,ABIO Power,EAS,TBC,Nicosia,5,10,2,1,3,"1,104,571",110.4571,"29,382","1,935",85,"7,080","7,000","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","20,000",,"8,284","7,000",0,"103,724","33,374","30,000","2,400","65,774",,"1,274,069","1,361,050","136,105","86,981",6.4%,ESTIMATED
14,Easy Power 2,ABIO Power,EAS,TBC,Nicosia,4.5,10,2,1,3,"1,071,160",107.115965,"28,493","1,935",85,"7,080","4,200","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","20,000",,"8,034","7,000",0,"99,784","33,374","30,000","2,400","65,774",,"1,236,718","1,401,540","140,154","164,822",11.8%,ESTIMATED
15,Easy Power 3,ABIO Power,EAS,TBC,Nicosia,5,10,3,2,5,"1,104,571",110.4571,"29,382","3,225",85,"11,800","7,000","4,400","6,000","3,000","2,000","2,523","2,605","3,968","1,600","20,000",,"8,284","7,000",0,"119,872","40,444","30,000","2,400","72,844",,"1,297,287","1,361,050","136,105","63,763",4.7%,ESTIMATED
16,Easy Power 4,ABIO Power,EAS,TBC,Nicosia,1.8,8,2,1,3,"852,929",106.616165,"22,688","1,935",85,"7,080","3,500","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","16,000",,"6,397","7,000",0,"87,643","33,374","15,000","2,400","50,774",,"991,346","1,136,949","142,119","145,603",12.8%,ESTIMATED
17,Greendorado 1,ABIO Power,GRD,TBC,Nicosia,1.8,8,2,1,3,"852,929",106.616165,"22,688","1,935",85,"7,080","4,200","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","16,000",,"6,397","7,000",0,"88,343","33,374","15,000","2,400","50,774",,"992,046","1,136,949","142,119","144,903",12.7%,ESTIMATED
18,Polemi,ABIO Power,POL,TBC,Nicosia,1.25,10,3,1,4,"829,622",82.962185,"22,068","2,580",85,"11,800","5,600","4,400","6,000","3,000","2,000","1,906","2,134","3,174","1,600","20,000",,"6,222","7,000",0,"106,570","40,444","30,000","2,400","72,844",,"1,009,036","1,129,579","112,958","120,544",10.7%,ESTIMATED
19,Potamia p151,ABIO Power,POT,TBC,Nicosia,1.25,10,3,1,4,"829,622",82.962185,"22,068","2,580",85,"11,800","5,600","4,400","6,000","3,000","2,000","1,906","2,134","3,174","1,600","20,000",,"6,222","7,000",0,"106,570","40,444","30,000","2,400","72,844",,"1,009,036","1,129,579","112,958","120,544",10.7%,ESTIMATED
20,Potamia p208,ABIO Power,POT,TBC,Nicosia,4.5,20,6,2,8,"1,815,301",90.7650415,"48,287","5,160",85,"16,520","9,800","2,200","5,000","3,000","2,000","3,812","3,606","6,349","1,600","40,000",,"13,615","7,000",0,"171,533","61,652","30,000","2,400","94,052",,"2,080,886","2,395,785","119,789","314,898",13.1%,ESTIMATED
21,Renergetic,ABIO Power,REN,TBC,Nicosia,5,10,2,1,3,"1,104,571",110.4571,"29,382","1,935",85,"7,080","7,000","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","20,000",,"8,284","7,000",0,"103,724","33,374","30,000","2,400","65,774",,"1,274,069","1,361,050","136,105","86,981",6.4%,ESTIMATED
22,Renergetic 2,ABIO Power,ABIO,TBC,Nicosia,2.4,10,2,1,3,"943,551",94.355121,"25,098","1,935",85,"7,080","3,500","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","20,000",,"7,077","7,000",0,"94,733","33,374","30,000","2,400","65,774",,"1,104,058","1,245,983","124,598","141,925",11.4%,ESTIMATED
23,Solarity,ABIO Power,SOL,TBC,Nicosia,5,10,2,1,3,"1,104,571",110.4571,"29,382","1,935",85,"7,080","7,000","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","20,000",,"8,284","7,000",0,"103,724","33,374","30,000","2,400","65,774",,"1,274,069","1,361,050","136,105","86,981",6.4%,ESTIMATED
24,Solartech 3 Extension,ABIO Power,ABIO,TBC,Nicosia,2.5,10,2,1,3,"974,457",97.4457,"25,921","1,935",85,"7,080","3,500","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","20,000",,"7,308","7,000",0,"95,787","33,374","30,000","2,400","65,774",,"1,136,018","1,206,300","120,630","70,282",5.8%,ESTIMATED
25,Waneron,ABIO Power,WAN,TBC,Nicosia,3,11.28,2,1,3,"1,133,091",100.4513582,"30,140","1,935",85,"11,800","4,200","4,400","6,000","3,000","2,000","1,476","1,801","2,381","1,600","22,560",,"8,498","7,000",0,"115,876","33,374","30,000","2,400","65,774",,"1,314,742","1,472,981","130,583","158,239",10.7%,ESTIMATED
,PORTFOLIO TOTAL,,,,,,882,,,,"85,963,925",,"2,286,640","161,895","4,335","604,160","363,300","154,000","275,000","153,000","102,000","120,197","126,596","199,191","81,600","1,763,560",,"644,729","357,000",0,"7,642,204","2,298,609","1,275,000","420,008","3,993,617",,"97,599,747","109,241,187","123,887","11,641,440",10.7%,
